,index,Unnamed: 0,lat,lng,city,state,date,year,month,Airport Name,Lat Airport,Lng Airport,Distance
357,359,359,43.7072895,-80.3744335,Fergus (Canada),ON,2001-07-08T23:00:00.000Z,2001,7,Burbank Field,44.027743,-80.20532399999998,38.11218810719914
358,360,360,43.1314966,-80.74716509999998,Woodstock (Canada),ON,2016-10-28T06:00:00.000Z,2016,10,Woodstock Airport,43.11107820000001,-80.82423829999998,6.6698317302766075
359,361,361,44.2415629,-78.16205670000002,Keene (Canada),ON,2006-05-21T13:00:00.000Z,2006,5,Elmhirst's Resort Waterdrome,44.25135999999999,-78.10324899999998,4.82167347050357
360,362,362,44.4309875,-78.3966746,Listowel (Canada),ON,2009-08-02T23:00:00.000Z,2009,8,Pencil Lake Waterdrome,44.80638,-78.35121699999998,41.870965633942056
361,363,363,43.86502460000001,-78.9382383,Whitby (Canada),ON,2015-09-06T22:00:00.000Z,2015,9,Billy Bishop Toronto City Airport,43.6284819,-79.39595770000001,45.27628408617601
362,364,364,43.5136705,-79.88281640000002,Milton,ON,2008-04-25T00:00:00.000Z,2008,4,Reid's Field,43.444063,-80.233233,29.38625514184414
363,365,365,44.47569445,-80.08241536062809,Wasaga Beach (Canada),ON,2013-04-14T20:30:00.000Z,2013,4,Wyevale (Boker Field) Airport,44.6575774,-79.8816392,25.746569907878005
364,366,366,43.8595029,-79.50685209999997,Maple (Canada),ON,2011-06-14T01:20:00.000Z,2011,6,Tottenham/Volk Airport,43.993352,-79.781904,26.628218988190024
365,367,367,43.36453570000001,-80.97577220000002,Stratford (Canada),ON,2003-08-08T00:00:00.000Z,2003,8,Woodstock Airport,43.11107820000001,-80.82423829999998,30.731031039563263
366,368,368,44.98567360000001,-78.0683614,North Bay (Canada),ON,2008-11-14T02:20:00.000Z,2008,11,Pencil Lake Waterdrome,44.80638,-78.35121699999998,29.936397891664402
367,369,369,44.98567360000001,-78.0683614,North Bay (Canada),ON,2007-04-03T13:00:00.000Z,2007,4,Pencil Lake Waterdrome,44.80638,-78.35121699999998,29.936397891664402
368,370,370,42.921189700000006,-78.956133,Fort Erie (Canada),ON,2014-03-27T06:00:00.000Z,2014,3,Port Colborne Airport,42.87635349999999,-79.35574989999998,33.01642933523452
369,371,371,43.36453570000001,-80.97577220000002,Stratford (Canada),ON,2003-12-28T19:30:00.000Z,2003,12,Woodstock Airport,43.11107820000001,-80.82423829999998,30.731031039563263
370,372,372,44.98567360000001,-78.0683614,North Bay (Canada),ON,2001-08-04T14:00:00.000Z,2001,8,Pencil Lake Waterdrome,44.80638,-78.35121699999998,29.936397891664402
371,373,373,44.81681029999999,-76.1581198,Kingston (North of) (Canada),ON,2000-12-20T20:38:00.000Z,2000,12,Dwyer Hill Heliport,45.130556,-75.94833299999998,38.5947890203962
372,374,374,42.9981744,-82.30882038716479,Sarnia (Canada),ON,2014-08-02T17:50:00.000Z,2014,8,St. Clair County International Airport,42.91043899999999,-82.52809520000001,20.375509628840074
373,375,375,44.47569445,-80.08241536062809,Wasaga Beach (Canada),ON,1999-08-20T00:00:00.000Z,1999,8,Wyevale (Boker Field) Airport,44.6575774,-79.8816392,25.746569907878005
374,376,376,42.8736603,-81.56872790000001,Falconbridge (Canada),ON,1961-07-15T06:30:00.000Z,1961,7,Melbourne Airport,42.82444599999999,-81.548813,5.704405426131358
375,377,377,43.50984295,-80.5306305,Carlisle (Canada),ON,1996-08-23T01:00:00.000Z,1996,8,Elmira (East) Airport,43.593756299999995,-80.51510440000001,9.407106420669871
376,378,378,43.9194098,-80.09882370000003,Orangeville (Canada),ON,1999-12-16T22:00:00.000Z,1999,12,Burbank Field,44.027743,-80.20532399999998,14.762170015428035
377,379,379,42.9981744,-82.30882038716479,Sarnia (Canada),ON,2007-06-03T21:00:00.000Z,2007,6,St. Clair County International Airport,42.91043899999999,-82.52809520000001,20.375509628840074
378,380,380,43.08955770000001,-79.0849436,Niagara Falls (Canada),ON,2016-09-22T08:45:00.000Z,2016,9,Port Colborne Airport,42.87635349999999,-79.35574989999998,32.386261729369615
379,381,381,44.005493,-79.5734085,Kettleby (Canada),ON,2002-10-05T22:00:00.000Z,2002,10,Tottenham/Volk Airport,43.993352,-79.781904,16.777111640647078
380,382,382,43.9722438,-78.6117017,Orono (Canada),ON,2016-06-10T22:53:00.000Z,2016,6,Oshawa Executive Airport,43.925570500000006,-78.8968637,23.47143686598884
381,383,383,42.3970242,-82.1796228,Chatham (Canada),ON,2011-06-01T14:00:00.000Z,2011,6,Stoney Point (Le Cunff) Airport,42.295556,-82.535,31.377303868762276
382,384,384,42.1726177,-82.8225981,Essex (Canada),ON,2010-06-20T11:00:00.000Z,2010,6,Cottam Airport,42.139764,-82.65274000000001,14.504961840500188
383,385,385,44.81681029999999,-76.1581198,Kingston (northeast of) (Canada),ON,2003-07-24T23:10:00.000Z,2003,7,Dwyer Hill Heliport,45.130556,-75.94833299999998,38.5947890203962
384,386,386,44.65750415,-78.8036211264519,Coboconk (Canada),ON,2013-05-19T22:45:00.000Z,2013,5,Head Lake Waterdrome,44.721575,-78.909864,11.028316755077233
385,387,387,43.9862072,-77.2381816,Bloomfield (Canada),ON,2002-08-03T02:25:00.000Z,2002,8,Belleville Airport,44.19195999999999,-77.309648,23.567552660261132
386,388,388,43.575633,-79.7868273,Dunrobin (Canada),ON,2013-10-28T06:20:00.000Z,2013,10,Smith Field,43.775844899999996,-80.229815,42.0829351656801
387,389,389,44.426161,-76.3996423,Nobel (Canada),ON,2004-10-10T09:45:00.000Z,2004,10,Breezy Meadows,44.088,-76.26916659999999,38.993438758458645
388,390,390,43.906272,-78.67768740000002,Bowmanville (Canada),ON,2014-08-15T22:25:00.000Z,2014,8,Oshawa Executive Airport,43.925570500000006,-78.8968637,17.734207684988483
