,AirportName,Number of Departures,Number of Connections,Year
1464,MARY'S HARBOUR,312,2,2009
1465,HOPEDALE,562,2,2009
1466,PAULATUK,157,1,2010
1467,FLIN FLON,1481,4,2003
1468,PORT HARDY,1335,3,2009
1469,FORT FRANKLIN,835,2,2010
1470,CHURCHILL FALLS,172,2,2007
1471,SANDSPIT,431,1,2009
1472,POINTS NORTH LAND,873,5,2004
1473,AUPALUK,830,3,2018
1474,FORT SEVERN,243,4,2004
1475,WABUSH,2666,9,2010
1476,MONT JOLI,1417,6,2009
1477,CAMPBELL RIVER,3621,4,2017
1478,FORT NORMAN,1300,2,2005
1479,ROUYN,1558,4,2009
1480,REGINA,9102,26,2009
1481,BAGOTVILLE,1338,3,2009
1482,CALGARY INTL,67259,143,2005
1483,SANDY LAKE,1097,5,2012
1484,KITCHENER,345,2,2017
1485,AUPALUK,826,3,2008
1486,NAIN,442,3,2010
1487,GASPE,1460,2,2007
1488,FORT SEVERN,352,4,2003
1489,SANDY LAKE,958,9,2015
1490,QUESNEL,897,2,2009
1491,QUESNEL,892,2,2010
1492,OTTAWA INTL,32091,60,2005
1493,KELOWNA,9544,16,2003
1494,LETHBRIDGE,1741,2,2009
1495,HIGH LEVEL,647,2,2009
1496,KENORA,1323,6,2004
1497,WEMINDJI,622,2,2003
1498,SYDNEY,1864,9,2004
1499,DAWSON CREEK,598,3,2009
1500,PORT HARDY,1196,2,2008
1501,ST JOHN,3716,7,2009
1502,KINGSTON,2700,4,2009
1503,WABUSH,2330,10,2005
1504,TALOYAK,620,6,2009
1505,BONAVENTURE,1183,3,2016
1506,LAKE HARBOUR,205,1,2009
1507,FORT MCMURRAY,6536,10,2011
1508,KAMLOOPS,4021,6,2014
1509,WHALE COVE,785,4,2004
1510,FORT SIMPSON,776,3,2009
1511,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,28807,82,2014
1512,NORMAN WELLS,2647,9,2014
1513,BATHURST,572,2,2004
1514,KUGAARUK,466,5,2009
1515,AKLAVIK,367,1,2003
1516,EASTMAIN,620,2,2009
1517,VAL D'OR,2170,6,2009
1518,KAPUSKASING,1109,1,2010
1519,NEMISCAU,518,2,2009
1520,ROUYN,1495,3,2011
1521,FORT NORMAN,1305,2,2007
1522,MUSKRAT DAM,858,6,2003
1523,WEMINDJI,620,2,2009
1524,FORT ST JOHN,2696,6,2009
1525,IVUJIVIK,711,3,2003
1526,CHIBOUGAMAU,617,3,2009
1527,COPPERMINE,869,6,2015
1528,MARY'S HARBOUR,226,2,2004
1529,OLD CROW,313,3,2003
1530,CASTLEGAR,1333,2,2006
1531,WASKAGANISH,1290,5,2009
1532,SHAMATTAWA,682,3,2017
1533,CALGARY INTL,63017,118,2003
1534,MIRABEL,486,4,2009
1535,BRANDON,65,1,2006
1536,RANKIN INLET,3638,19,2010
1537,WABUSH,3344,16,2018
1538,GRANDE PRAIRIE,3776,4,2012
1539,BAIE COMEAU,894,6,2010
1540,HAMILTON,3842,21,2009
1541,WHALE COVE,316,3,2009
1542,CHESTERFIELD INLE,325,5,2009
1543,THOMPSON,2837,14,2009
1544,KENORA,1234,3,2005
1545,ROBERVAL,199,2,2009
1546,BAKER LAKE,1303,6,2009
1547,NEMISCAU,516,2,2006
1548,WEBEQUIE,379,4,2015
1549,SIOUX LOOKOUT,8474,21,2009
1550,RAINBOW LAKE,99,2,2016
1551,SUDBURY,8016,6,2009
1552,CHEVERY,1697,6,2009
1553,QUAQTAQ,730,2,2016
1554,NANAIMO ARPT,2852,2,2013
1555,MIRABEL,938,5,2016
1556,CALGARY INTL,81392,137,2010
1557,NAIN,425,4,2004
1558,PRINCE GEORGE,4294,8,2009
1559,ATTAWAPISKAT,429,2,2005
1560,RED LAKE,3787,8,2009
1561,KENORA,1668,4,2009
1562,URANIUM CITY,156,1,2006
1563,NORTH BAY,2952,4,2013
1564,SACHS HARBOUR,113,1,2007
1565,KANGIKSUJUAQ,724,2,2008
1566,KANGIQSUALUJJUAQ,545,2,2012
1567,KITCHENER,1721,3,2009
1568,OXFORD HOUSE,1360,3,2016
1569,ROUYN,1692,4,2008
1570,SAULT STE-MARIE,4333,3,2009
1571,DAWSON CITY,564,3,2011
1572,HAY RIVER,1226,6,2009
1573,DAWSON CITY,465,3,2009
1574,SACHIGO LAKE,574,2,2013
1575,KANGIQSUALUJJUAQ,627,2,2010
1576,PAULATUK,164,2,2009
1577,FORT MCPHERSON,398,1,2009
1578,TUKTOYAKTUK,727,1,2009
1579,PRINCE ALBERT,3484,6,2003
1580,HOLMAN,299,3,2009
1581,BERENS RIVER,407,1,2016
1582,KAMLOOPS,3627,8,2010
1583,GRANDE PRAIRIE,4043,6,2016
1584,AKLAVIK,1260,2,2009
1585,SALLUIT,957,4,2009
1586,BIG TROUT LAKE,1480,8,2009
1587,FORT HOPE,3228,9,2008
1588,KANGIKSUJUAQ,724,2,2009
1589,STEPHENVILLE,215,2,2013
1590,VAL D'OR,2481,9,2003
1591,POWELL RIVER,1372,1,2006
1592,IQALUIT,4348,20,2012
1593,KUUJJUAQ,2656,8,2009
1594,THUNDER BAY,9884,23,2004
1595,SANIKILUAQ,155,1,2009
1596,GANDER INTL,758,3,2009
1597,SMITHERS,1016,2,2005
1598,POVUNGNITUK,62114,131,2009
1599,SIOUX LOOKOUT,5831,25,2003
1600,SCHEFFERVILLE,1161,5,2016
1601,KANGIRSUK,987,3,2007
1602,HIGH LEVEL,1073,3,2017
1603,REPULSE BAY,435,5,2010
1604,CHEVERY,1611,5,2013
1605,INUKJUAK,961,3,2009
1606,KANGIRSUK,983,3,2009
1607,QUAQTAQ,726,2,2018
1608,FORT ST JOHN,2914,8,2018
1609,IVUJIVIK,731,2,2009
1610,KUUJJUARAPIK,1328,8,2009
1611,KANGIQSUALUJJUAQ,629,2,2009
1612,FREDERICTON,4042,8,2007
1613,FLIN FLON,767,3,2016
1614,LANDSDOWNE HOUSE,261,2,2018
1615,AKULIVIK,933,2,2009
1616,JEAN LESAGE INTL,14448,29,2006
1617,CLYDE RIVER,1082,6,2013
1618,KINGSTON,2844,3,2007
1619,THUNDER BAY,12137,19,2009
1620,TASIUJUAQ,881,2,2009
1621,IQALUIT,4766,22,2008
1622,OTTAWA INTL,41439,73,2009
1623,COPPERMINE,1260,5,2010
1624,IVUJIVIK,648,6,2005
1625,GODS RIVER,1377,7,2008
1626,FORT MCMURRAY,6596,10,2009
1627,LETHBRIDGE,2655,2,2018
1628,KELOWNA,10102,18,2009
1629,CAPE DORSET,579,4,2007
1630,TASIUJUAQ,885,2,2010
1631,CAT LAKE,574,2,2012
1632,HOLMAN,312,3,2013
1633,JEAN LESAGE INTL,16288,27,2007
1634,OTTAWA INTL,43686,84,2010
1635,CASTLEGAR,1347,2,2008
1636,TIMMINS,4468,8,2016
1637,TOFINO,1390,3,2003
1638,EDMONTON INTL,46169,80,2009
1639,DAUPHIN,351,3,2006
1640,CHESTERFIELD INLE,619,5,2004
1641,FORT MCPHERSON,470,1,2015
1642,THOMPSON,5892,17,2004
1643,KAMLOOPS,4499,10,2008
1644,VANCOUVER INTL,106964,172,2009
1645,FORT FRANCES,1226,2,2008
1646,LONDON,5378,16,2018
1647,GILLIES BAY,1052,1,2006
1648,PICKLE LAKE,872,7,2008
1649,FORT FRANKLIN,1134,4,2015
1650,CHURCHILL FALLS,245,2,2008
1651,PRINCE GEORGE,4265,8,2010
1652,SEPT ILES,6007,27,2017
1653,MASSET,378,1,2017
1654,GATINEAU,89,1,2008
1655,FORT SIMPSON,621,2,2014
1656,FREDERICTON,3663,10,2016
1657,PUKATAWAGAN,64,1,2005
1658,IQALUIT,3574,18,2005
1659,UMIUJAQ,483,3,2007
1660,THE PAS,615,2,2017
1661,BONAVENTURE,218,2,2008
1662,NORMAN WELLS,1918,6,2003
1663,THOMPSON,3052,17,2006
1664,CHESTERFIELD INLE,835,5,2006
1665,ST HUBERT,415,4,2008
1666,PORT HARDY,1451,2,2016
1667,LANDSDOWNE HOUSE,2303,4,2009
1668,AKULIVIK,950,3,2003
1669,FLIN FLON,1518,5,2010
1670,FORT SMITH,846,2,2008
1671,ISLAND LAKE/GARDEN HILL,1988,2,2008
1672,CROSS LAKE,890,1,2008
1673,SHAMATTAWA,64,1,2010
1674,MONCTON,5827,18,2010
1675,GANDER INTL,863,5,2010
1676,BROUGHTON ISLAND,598,4,2010
1677,PEAWANUCK,103,1,2008
1678,SYDNEY,2468,7,2016
1679,CRANBROOK,2822,4,2012
1680,"ROUND LAKE, OT",1038,9,2008
1681,URANIUM CITY,286,2,2003
1682,NAIN,1050,6,2014
1683,AUPALUK,836,3,2012
1684,POND INLET,1009,10,2009
1685,CARTWRIGHT,410,3,2003
1686,NAIN,1095,5,2017
1687,LESTER B. PEARSON,199197,428,2013
1688,IGLOOLIK,923,8,2010
1689,DRYDEN,2303,6,2003
1690,HOPEDALE,443,4,2004
1691,TASIUJUAQ,965,4,2004
1692,BROCHET,374,4,2008
1693,EASTMAIN,624,2,2016
1694,DEER LAKE,379,5,2007
1695,AKLAVIK,1513,2,2010
1696,OLD CROW,302,2,2012
1697,MOOSONEE,894,3,2018
1698,SHAMATTAWA,829,6,2008
1699,IGLOOLIK,412,4,2003
1700,LAC BROCHET,732,4,2008
1701,PICKLE LAKE,510,2,2011
1702,NATASHQUAN,925,4,2008
1703,ILES DE LA MADELE,1171,4,2010
1704,CHEVERY,1676,5,2008
1705,HAVRE ST-PIERRE,537,3,2008
1706,GODS RIVER,1340,7,2007
1707,ST ANTHONY,1738,5,2008
1708,TIMMINS,4602,4,2007
1709,BELLA COOLA,373,2,2013
1710,GRISE FIORD,104,1,2008
1711,FREDERICTON,4078,8,2009
1712,OTTAWA INTL,33896,67,2004
1713,FORT GOOD HOPE,838,5,2008
1714,KASABONIKA,1196,9,2008
1715,CORAL HARBOUR,547,4,2010
1716,BATHURST,680,1,2008
1717,FORT NORMAN,1309,2,2004
1718,MONT JOLI,902,6,2008
1719,PENTICTON,2327,3,2008
1720,BAGOTVILLE,1228,2,2008
1721,NAIN,470,3,2005
1722,NATASHQUAN,696,4,2006
1723,HAMILTON,5279,39,2018
1724,NAIN,567,3,2009
1725,HOPEDALE,601,2,2012
1726,FORT NELSON,843,2,2008
1727,AUPALUK,834,3,2016
1728,FORT ST JOHN,2612,5,2008
1729,WILLIAMS LAKE,2110,3,2008
1730,ROUYN,1970,7,2014
1731,RED SUCKER LAKE,991,1,2007
1732,QUESNEL,906,2,2008
1733,IQALUIT,4586,21,2010
1734,MONT TREMBLANT,130,4,2009
1735,"ROUND LAKE, OT",365,3,2015
1736,INUVIK,2899,12,2005
1737,COMOX,6247,8,2008
1738,ST HUBERT,1374,4,2017
1739,HIGH LEVEL,615,2,2008
1740,LLOYDMINSTER,448,1,2008
1741,LETHBRIDGE,2048,1,2017
1742,CAMPBELL RIVER,3848,5,2008
1743,LONDON,6423,6,2008
1744,CAMPBELL RIVER,3595,6,2012
1745,FORT FRANKLIN,832,2,2006
1746,SYDNEY,1889,6,2008
1747,AKULIVIK,722,2,2018
1748,HAVRE ST-PIERRE,626,3,2013
1749,FORT SMITH,1132,4,2010
1750,KINGSTON,2954,2,2008
1751,YORK LANDING,367,2,2008
1752,CAPE DORSET,849,6,2008
1753,TASIUJUAQ,832,2,2015
1754,GODS NARROWS,1979,6,2008
1755,FORT ST JOHN,1976,6,2003
1756,PANGNIRTUNG,1706,6,2008
1757,RAINBOW LAKE,326,3,2004
1758,BROUGHTON ISLAND,759,4,2008
1759,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,30332,73,2009
1760,CORAL HARBOUR,658,5,2015
1761,NANISIVIK,477,2,2008
1762,MONCTON,5914,15,2009
1763,RAINBOW LAKE,519,1,2006
1764,GILLAM,642,2,2008
1765,POVUNGNITUK,62626,139,2014
1766,GOOSE BAY,3668,13,2011
1767,GRISE FIORD,104,1,2006
1768,LAKE HARBOUR,208,1,2018
1769,HAY RIVER,1190,3,2008
1770,GRANDE PRAIRIE,4587,5,2014
1771,BERENS RIVER,178,1,2014
1772,BIG TROUT LAKE,995,5,2015
1773,COMOX,5058,5,2005
1774,POND INLET,892,9,2008
1775,NANAIMO ARPT,2546,3,2006
1776,ATTAWAPISKAT,416,2,2009
1777,IGLOOLIK,914,8,2008
1778,BROUGHTON ISLAND,570,3,2005
1779,CLYDE RIVER,954,5,2008
1780,UMIUJAQ,726,3,2011
1781,CARTWRIGHT,270,2,2004
1782,INUKJUAK,884,6,2005
1783,IQALUIT,4939,20,2009
1784,TIMMINS,4876,5,2014
1785,MASSET,275,1,2007
1786,DIGBY ISLAND,66579,140,2018
1787,DAWSON CREEK,588,3,2010
1788,COPPERMINE,1310,5,2008
1789,SANIKILUAQ,468,3,2018
1790,VAL D'OR,1799,5,2008
1791,NEMISCAU,518,2,2008
1792,WEMINDJI,624,2,2005
1793,WHITEHORSE,2019,7,2006
1794,BAKER LAKE,1484,4,2008
1795,ROBERVAL,505,2,2008
1796,WEMINDJI,622,2,2008
1797,CHIBOUGAMAU,770,3,2008
1798,MOOSONEE,1130,3,2008
1799,SAULT STE-MARIE,4583,6,2014
1800,GRANDE PRAIRIE,4111,5,2013
1801,FORT CHIPEWYAN,314,2,2012
1802,BIG TROUT LAKE,967,6,2013
1803,TIMMINS,4575,4,2009
1804,NAKINA,1047,2,2008
1805,ROBERVAL,488,2,2007
1806,POND INLET,691,7,2012
1807,GJOA HAVEN,1030,6,2006
1808,ATTAWAPISKAT,414,2,2008
1809,TUKTOYAKTUK,744,1,2010
1810,LAKE HARBOUR,208,1,2012
1811,MIRABEL,943,6,2008
1812,KANGIKSUJUAQ,728,2,2015
1813,SACHS HARBOUR,156,1,2010
1814,CHESTERFIELD INLE,855,5,2008
1815,THOMPSON,7011,22,2008
1816,AKLAVIK,3,1,2014
1817,PEAWANUCK,103,1,2003
1818,SANDY LAKE,893,6,2003
1819,ESKIMO POINT,942,2,2008
1820,QUAQTAQ,620,3,2003
1821,NAIN,1336,5,2016
1822,LYNN LAKE,30,1,2013
1823,PIKANGIKUM,1094,5,2011
1824,SOUTH INDIAN LAKE,576,2,2008
1825,SACHS HARBOUR,157,2,2012
1826,MOOSONEE,1169,3,2005
1827,LYNN LAKE,316,3,2008
1828,CALGARY INTL,87131,150,2014
1829,NORTH BAY,2616,3,2008
1830,LESTER B. PEARSON,186728,330,2007
1831,PRINCE GEORGE,4793,11,2008
1832,RED LAKE,3862,10,2008
1833,FLIN FLON,1525,5,2008
1834,SALLUIT,775,8,2004
1835,WHALE COVE,946,4,2013
1836,BONAVENTURE,1303,5,2015
1837,UMIUJAQ,648,3,2010
1838,ATTAWAPISKAT,672,4,2016
1839,EDMONTON INTL,45736,95,2012
1840,OLD CROW,304,3,2008
1841,SEPT ILES,5133,15,2009
1842,TUKTOYAKTUK,680,1,2008
1843,PENTICTON,1608,4,2016
1844,YELLOWKNIFE,9408,27,2008
1845,PEAWANUCK,104,1,2015
1846,MASSET,321,1,2015
1847,NEMISCAU,517,2,2007
1848,CROSS LAKE,222,1,2006
1849,SALLUIT,893,4,2008
1850,BAIE COMEAU,1348,6,2018
1851,SHAMATTAWA,391,3,2006
1852,SACHIGO LAKE,858,7,2003
1853,QUAQTAQ,724,2,2008
1854,ROUYN,1202,2,2005
1855,GANDER INTL,785,3,2008
1856,VAL D'OR,2234,6,2012
1857,KUGAARUK,406,7,2007
1858,POVUNGNITUK,67371,122,2008
1859,MARY'S HARBOUR,254,2,2006
1860,IVUJIVIK,728,2,2008
1861,KUUJJUARAPIK,1376,7,2008
1862,KANGIQSUALUJJUAQ,624,2,2008
1863,ST JOHN'S,8813,23,2008
1864,DAWSON CITY,628,3,2004
1865,VICTORIA,16052,15,2008
1866,ATTAWAPISKAT,413,2,2007
1867,RED LAKE,4014,12,2011
1868,IGLOOLIK,919,10,2014
1869,THUNDER BAY,12106,22,2008
1870,FORT SMITH,1000,5,2003
1871,OTTAWA INTL,37755,111,2015
1872,JEAN LESAGE INTL,16994,36,2008
1873,FORT MCMURRAY,5834,7,2008
1874,KANGIKSUJUAQ,724,2,2013
1875,CARTWRIGHT,87,2,2010
1876,POND INLET,384,4,2016
1877,INUVIK,3082,11,2004
1878,EDMONTON INTL,47172,79,2008
1879,PIERRE ELLIOTT TRUDEAU INTL,71922,159,2004
1880,DEER LAKE,5604,15,2008
1881,KUUJJUAQ,2991,11,2016
1882,KANGIRSUK,848,5,2004
1883,BONAVENTURE,1605,6,2013
1884,VAL D'OR,2164,6,2010
1885,PIKANGIKUM,156,1,2005
1886,REGINA,8764,17,2006
1887,VANCOUVER INTL,115738,186,2008
1888,PIERRE ELLIOTT TRUDEAU INTL,85459,180,2008
1889,WINDSOR,2267,1,2007
1890,ST JOHN'S,9709,20,2010
1891,CAMBRIDGE BAY,1195,10,2009
1892,FORT SEVERN,183,2,2007
1893,PIKANGIKUM,660,6,2014
1894,SUDBURY,7486,7,2010
1895,NORMAN WELLS,1843,9,2013
1896,BELLA BELLA,434,2,2007
1897,AKLAVIK,747,1,2015
1898,VAL D'OR,2220,6,2011
1899,FORT HOPE,467,5,2014
1900,DEER LAKE,679,5,2008
1901,KUGAARUK,508,8,2011
1902,SMITHERS,1346,5,2008
1903,DAUPHIN,22,1,2009
1904,YORK LANDING,365,1,2007
1905,ISLAND LAKE/GARDEN HILL,1982,2,2007
1906,TERRACE,2704,6,2012
1907,ISLAND LAKE/GARDEN HILL,1148,3,2016
1908,LA GRANDE,878,4,2010
1909,RESOLUTE,355,4,2011
1910,GRANDE PRAIRIE,3159,5,2007
1911,BERENS RIVER,574,1,2007
1912,SHAMATTAWA,557,2,2003
1913,NAKINA,1099,2,2004
1914,BRANDON,261,1,2007
1915,IGLOOLIK,413,4,2004
1916,WHALE COVE,890,3,2008
1917,TOFINO,120,1,2008
1918,CAMPBELL RIVER,3668,7,2013
1919,OLD CROW,282,3,2011
1920,FORT FRANKLIN,835,2,2007
1921,GILLIES BAY,1619,2,2015
1922,WASKAGANISH,1340,6,2014
1923,MUNICIPAL,261,1,2006
1924,SYDNEY,1965,6,2009
1925,ROBERVAL,679,2,2013
1926,WEBEQUIE,1275,11,2007
1927,NORWAY HOUSE,1816,4,2007
1928,PRINCE GEORGE,4621,11,2013
1929,LANDSDOWNE HOUSE,1748,6,2007
1930,SIOUX LOOKOUT,6523,26,2015
1931,NORTH BAY,1882,5,2015
1932,FORT HOPE,2453,8,2007
1933,BROCHET,344,4,2007
1934,JEAN LESAGE INTL,18432,54,2017
1935,SCHEFFERVILLE,797,4,2006
1936,CAMPBELL RIVER,2911,5,2018
1937,WILLIAMS LAKE,2138,3,2010
1938,NATASHQUAN,770,4,2007
1939,HALL BEACH,619,4,2016
1940,MAKKOVIK,486,2,2007
1941,HOPEDALE,486,2,2007
1942,ST ANTHONY,1275,6,2007
1943,RANKIN INLET,3576,18,2009
1944,PRINCE GEORGE,5139,15,2004
1945,REPULSE BAY,576,4,2008
1946,GRISE FIORD,104,1,2007
1947,RESOLUTE,411,4,2017
1948,GOOSE BAY,4212,13,2007
1949,PENTICTON,1636,5,2007
1950,MOOSONEE,1225,2,2017
1951,ESKIMO POINT,938,3,2006
1952,CHARLO,408,2,2014
1953,POWELL RIVER,2396,3,2017
1954,NORMAN WELLS,2043,6,2009
1955,NORMAN WELLS,2232,6,2008
1956,MOOSONEE,1229,3,2004
1957,WABUSH,2890,9,2011
1958,ILES DE LA MADELE,925,3,2007
1959,AKLAVIK,575,1,2017
1960,FORT FRANCES,847,2,2003
1961,HOLMAN,260,2,2004
1962,KITCHENER,2268,3,2008
1963,KUGAARUK,430,8,2017
1964,GRISE FIORD,104,1,2014
1965,FORT NORMAN,1482,2,2016
1966,MASSET,339,1,2014
1967,NANAIMO ARPT,2177,1,2007
1968,CAMBRIDGE BAY,1276,10,2008
1969,LONDON,5552,8,2004
1970,HALIFAX,30215,85,2009
1971,POWELL RIVER,1913,2,2016
1972,LETHBRIDGE,1965,2,2003
1973,RED LAKE,3004,8,2015
1974,TERRACE,2923,7,2007
1975,STEPHENVILLE,373,3,2008
1976,WILLIAMS LAKE,1969,3,2007
1977,CRANBROOK,3197,4,2014
1978,GASPE,1454,2,2015
1979,WEBEQUIE,736,3,2012
1980,MASSET,31,1,2004
1981,"ROUND LAKE, OT",722,3,2010
1982,DAWSON CREEK,789,4,2007
1983,WHITEHORSE,2287,9,2010
1984,PEAWANUCK,104,1,2004
1985,SANDY LAKE,608,8,2004
1986,CAMPBELL RIVER,3732,4,2007
1987,ATTAWAPISKAT,702,2,2003
1988,LONDON,6448,8,2007
1989,SYDNEY,2079,5,2007
1990,FORT CHIPEWYAN,517,2,2014
1991,ST JOHN'S,13214,37,2017
1992,CAMBRIDGE BAY,884,7,2015
1993,TADOULE LAKE,657,4,2007
1994,RESOLUTE,539,5,2006
1995,ST JOHN,3864,6,2007
1996,GODS RIVER,100,2,2005
1997,WHITEHORSE,2123,9,2009
1998,SASKATOON,11382,46,2013
1999,PANGNIRTUNG,1247,4,2007
2000,TALOYAK,464,7,2007
2001,LAKE HARBOUR,232,2,2007
2002,PENTICTON,1121,2,2005
2003,FORT GOOD HOPE,557,4,2012
2004,KASABONIKA,836,5,2012
2005,LYNN LAKE,65,3,2009
2006,AUPALUK,458,4,2003
2007,MONCTON,5906,28,2016
2008,CHIBOUGAMAU,619,3,2013
2009,POND INLET,524,6,2015
2010,POND INLET,515,4,2005
2011,YELLOWKNIFE,8690,30,2013
2012,CARTWRIGHT,314,2,2008
2013,SCHEFFERVILLE,1138,5,2012
2014,VAL D'OR,1576,5,2007
2015,NANAIMO ARPT,2482,1,2012
2016,NANISIVIK,410,3,2007
2017,BAKER LAKE,1355,5,2007
2018,WEMINDJI,621,2,2007
2019,RANKIN INLET,3773,20,2003
2020,BAGOTVILLE,1766,10,2015
2021,REGINA,10994,57,2015
2022,CHURCHILL FALLS,155,1,2006
2023,BAGOTVILLE,1035,1,2007
2024,REGINA,8107,16,2007
2025,BROCHET,331,4,2018
2026,MIRABEL,1461,6,2007
2027,NATASHQUAN,779,4,2015
2028,REPULSE BAY,577,4,2007
2029,KANGIKSUJUAQ,724,2,2010
2030,CHESTERFIELD INLE,946,5,2007
2031,THOMPSON,6370,22,2007
2032,HAMILTON,2929,19,2013
2033,GILLAM,548,2,2007
2034,CRANBROOK,2735,5,2011
2035,ESKIMO POINT,1097,3,2007
2036,DAWSON CREEK,650,3,2013
2037,ILES DE LA MADELE,1241,5,2008
2038,FOND DU LAC,99,3,2017
2039,KUGAARUK,469,5,2008
2040,KAPUSKASING,1077,1,2007
2041,KUUJJUARAPIK,1166,8,2003
2042,KANGIKSUJUAQ,732,2,2012
2043,SUDBURY,8864,6,2007
2044,KAPUSKASING,1257,1,2009
2045,PRINCE GEORGE,4801,10,2007
2046,KANGIRSUK,1043,3,2016
2047,MIRABEL,1081,4,2018
2048,CALGARY INTL,81226,136,2009
2049,HAY RIVER,1443,5,2012
2050,ROBERVAL,207,2,2011
2051,BAKER LAKE,1218,7,2011
2052,KENORA,1445,3,2007
2053,CORAL HARBOUR,290,4,2009
2054,KITCHENER,1409,3,2007
2055,FLIN FLON,1535,5,2007
2056,IGLOOLIK,1030,7,2009
2057,FORT FRANCES,1211,2,2007
2058,CAPE DORSET,798,6,2010
2059,BAIE COMEAU,1081,3,2007
2060,PANGNIRTUNG,1244,4,2004
2061,ALMA,731,2,2013
2062,UMIUJAQ,521,3,2005
2063,KUUJJUAQ,1695,13,2003
2064,OLD CROW,313,3,2007
2065,DAWSON CITY,626,3,2007
2066,FORT MCPHERSON,476,1,2007
2067,TASIUJUAQ,836,2,2012
2068,FORT FRANCES,903,2,2004
2069,BRANDON,262,1,2008
2070,CORAL HARBOUR,659,4,2016
2071,DRYDEN,1790,5,2005
2072,NORMAN WELLS,2227,6,2007
2073,DAWSON CREEK,607,3,2008
2074,KUUJJUARAPIK,1294,5,2018
2075,HAVRE ST-PIERRE,230,3,2009
2076,HALIFAX,32229,85,2010
2077,LLOYDMINSTER,608,1,2013
2078,TUKTOYAKTUK,723,1,2007
2079,BATHURST,719,1,2009
2080,TUKTOYAKTUK,766,1,2011
2081,SEPT ILES,5001,12,2007
2082,NAKINA,1001,2,2006
2083,DEER LAKE,548,3,2009
2084,ST ANTHONY,857,4,2012
2085,SMITHERS,1325,5,2009
2086,CHIBOUGAMAU,580,3,2012
2087,MASSET,307,2,2010
2088,SALLUIT,898,4,2007
2089,SHAMATTAWA,85,3,2015
2090,WILLIAMS LAKE,2177,3,2009
2091,KUUJJUAQ,2425,8,2007
2092,LONDON,5594,18,2015
2093,MIRABEL,3461,31,2004
2094,KUUJJUAQ,2702,9,2018
2095,PAULATUK,156,1,2015
2096,SMITHERS,991,3,2004
2097,SANIKILUAQ,172,1,2007
2098,RED SUCKER LAKE,994,1,2008
2099,VICTORIA,17730,29,2018
2100,AUPALUK,707,3,2007
2101,IQALUIT,4487,20,2011
2102,CARTWRIGHT,289,3,2006
2103,INUKJUAK,985,3,2007
2104,FORT MCPHERSON,524,1,2008
2105,SCHEFFERVILLE,887,4,2007
2106,LLOYDMINSTER,342,1,2017
2107,LA GRANDE,943,4,2007
2108,NAIN,489,3,2007
2109,FORT NELSON,914,4,2014
2110,GILLIES BAY,991,1,2009
2111,KANGIQSUALUJJUAQ,551,2,2007
2112,AKULIVIK,759,2,2007
2113,FORT ALBANY,711,2,2018
2114,YORK LANDING,92,1,2006
2115,NORTH BAY,2429,4,2011
2116,VANCOUVER INTL,110462,193,2004
2117,CHARLOTTETOWN,3136,10,2007
2118,THE PAS,1568,4,2003
2119,VICTORIA,15915,15,2007
2120,SALLUIT,794,6,2003
2121,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,37417,74,2007
2122,TASIUJUAQ,717,2,2007
2123,SCHEFFERVILLE,1347,5,2014
2124,KAPUSKASING,142,1,2017
2125,VAL D'OR,1605,4,2005
2126,YORK LANDING,34,1,2015
2127,FORT FRANKLIN,838,2,2004
2128,DAWSON CITY,624,3,2005
2129,NANAIMO ARPT,2197,1,2008
2130,FORT MCMURRAY,5221,11,2007
2131,FORT MCPHERSON,468,1,2017
2132,DEER LAKE,5740,14,2007
2133,CALGARY INTL,76518,137,2007
2134,"ROUND LAKE, OT",104,1,2006
2135,COPPERMINE,1365,5,2009
2136,GRISE FIORD,104,1,2012
2137,FORT SMITH,877,3,2006
2138,KELOWNA,10338,19,2012
2139,SOUTH INDIAN LAKE,574,2,2007
2140,GERALDTON,53,2,2014
2141,NORMAN WELLS,1829,8,2012
2142,BELLA BELLA,794,2,2006
2143,KUGAARUK,731,8,2003
2144,BAIE COMEAU,1215,8,2017
2145,MAKKOVIK,356,2,2003
2146,KENORA,1252,3,2013
2147,WEBEQUIE,927,4,2011
2148,DEER LAKE,6031,13,2005
2149,HIGH LEVEL,858,4,2007
2150,RANKIN INLET,2805,11,2016
2151,KENORA,1560,4,2008
2152,GODS RIVER,327,4,2006
2153,ISLAND LAKE/GARDEN HILL,498,2,2006
2154,LONDON,5820,7,2005
2155,KUUJJUAQ,2006,12,2004
2156,EASTMAIN,618,2,2010
2157,KANGIRSUK,983,3,2010
2158,RED SUCKER LAKE,84,1,2009
2159,ROBERVAL,364,2,2012
2160,BAKER LAKE,1324,4,2012
2161,WEBEQUIE,625,1,2006
2162,CASTLEGAR,1338,2,2005
2163,SANDSPIT,416,1,2012
2164,BAIE COMEAU,1037,6,2009
2165,IGLOOLIK,521,5,2007
2166,LYTTON,564,1,2008
2167,CHEVERY,1752,10,2017
2168,SCHEFFERVILLE,414,8,2003
2169,SANDY LAKE,1562,10,2016
2170,MAKKOVIK,639,3,2006
2171,KUGAARUK,495,7,2018
2172,HAVRE ST-PIERRE,878,5,2006
