,AirportName,Number of Departures,Number of Connections,Year
393,WINDSOR,3581,16,2016
394,SACHIGO LAKE,327,3,2015
395,ST JOHN,2423,7,2016
396,GANDER INTL,1895,13,2016
397,JEAN LESAGE INTL,17073,56,2016
398,FORT MCMURRAY,7063,15,2016
399,HALIFAX,27875,98,2016
400,IQALUIT,3203,18,2004
401,LESTER B. PEARSON,211148,534,2016
402,CHIBOUGAMAU,760,3,2007
403,KITCHENER,889,6,2016
404,PIERRE ELLIOTT TRUDEAU INTL,96213,331,2016
405,BONAVENTURE,1126,2,2017
406,QUAQTAQ,648,4,2004
407,FORT HOPE,338,3,2015
408,SANDY LAKE,1098,7,2008
409,CAT LAKE,313,3,2015
410,HIGH LEVEL,538,2,2003
411,HALL BEACH,688,6,2011
412,BRANDON,367,1,2015
413,CHARLO,306,2,2015
414,BAGOTVILLE,1034,1,2006
415,ST ANTHONY,728,4,2015
416,GATINEAU,60,2,2015
417,ST HUBERT,1593,7,2015
418,BELLA BELLA,982,4,2015
419,NORWAY HOUSE,1126,2,2017
420,POWELL RIVER,1426,1,2015
421,BELLA COOLA,392,2,2015
422,KASABONIKA,615,3,2015
423,SACHS HARBOUR,131,1,2009
424,MONCTON,6878,16,2011
425,FORT GOOD HOPE,1134,4,2015
426,PEAWANUCK,103,1,2012
427,BROUGHTON ISLAND,494,3,2014
428,HOPEDALE,1089,4,2015
429,PORT HARDY,1522,3,2015
430,GRISE FIORD,105,1,2015
431,SANDSPIT,388,1,2015
432,WEMINDJI,563,3,2017
433,MONT JOLI,2233,7,2015
434,GOOSE BAY,3847,16,2015
435,ROUYN,1534,6,2015
436,EDMONTON INTL,48644,102,2018
437,IGLOOLIK,900,7,2015
438,HOLMAN,311,3,2014
439,LONDON,5231,19,2016
440,FORT SIMPSON,773,3,2006
441,GANDER INTL,1602,13,2015
442,SEPT ILES,5296,18,2005
443,BERENS RIVER,81,2,2015
444,GRANDE PRAIRIE,4671,5,2015
445,BAIE COMEAU,1134,7,2015
446,GILLAM,620,2,2017
447,NORTH BAY,3307,6,2012
448,SMITHERS,1340,6,2015
449,CRANBROOK,2881,3,2004
450,PAULATUK,157,1,2016
451,FLIN FLON,1542,5,2009
452,FORT ST JOHN,3233,6,2015
453,SIOUX LOOKOUT,7818,22,2013
454,WILLIAMS LAKE,1888,3,2015
455,HOLMAN,261,3,2018
456,QUESNEL,902,2,2015
457,HIGH LEVEL,1124,4,2015
458,LLOYDMINSTER,537,1,2015
459,KAMLOOPS,4320,9,2015
460,DAWSON CREEK,425,2,2015
461,SARNIA,1194,2,2015
462,TOFINO,875,1,2015
463,REGINA,10743,41,2012
464,GODS RIVER,971,6,2017
465,CRANBROOK,3492,4,2015
466,LETHBRIDGE,2099,1,2015
467,KINGSTON,2546,2,2015
468,BROUGHTON ISLAND,378,5,2015
469,HALL BEACH,736,5,2015
470,MONT TREMBLANT,215,4,2008
471,CRANBROOK,1717,2,2007
472,RESOLUTE,371,2,2015
473,TOFINO,1217,4,2004
474,TALOYAK,524,6,2017
475,LAKE HARBOUR,207,1,2015
476,IQALUIT,4009,21,2015
477,EASTMAIN,666,2,2015
478,WEMINDJI,666,2,2015
479,CHIBOUGAMAU,564,3,2015
480,WASKAGANISH,1343,6,2015
