,lat,lng,city,state,date,year,month,Airport Name,Lat Airport,Lng Airport
819,48.716220299999996,-86.3758953,Marathon,ON,2014-06-14T22:00:00.000Z,2014,6,Marathon Airport,48.7591113,-86.3489556
820,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
821,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
822,49.70434385,-87.766674169786,Bearskin Lake (Canada),ON,2007-10-26T19:00:00.000Z,2007,10,,,
823,46.9599336,-84.6871352,Pancake Bay (Canada),ON,2008-10-15T03:00:00.000Z,2008,10,,,
824,46.4490938,-82.6905028990394,Elliot Lake (Canada),ON,2016-05-23T23:30:00.000Z,2016,5,Elliot Lake Airport,46.351387,-82.561386
825,46.5990787,-81.1823224,Sudbury (Canada),ON,2014-08-10T23:15:00.000Z,2014,8,Greater Sudbury Airport,46.6228445,-80.7956531
826,49.1994786,-84.78911640000001,Cedar Point (Canada),ON,1987-06-20T12:15:00.000Z,1987,6,Granitehill Lake Waterdrome,49.098705,-85.200293
827,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
828,46.5990787,-81.1823224,Sudbury (Canada),ON,2014-08-10T23:15:00.000Z,2014,8,Greater Sudbury Airport,46.6228445,-80.7956531
829,46.4490938,-82.6905028990394,Elliot Lake (Canada),ON,2016-05-23T23:30:00.000Z,2016,5,Elliot Lake Airport,46.351387,-82.561386
830,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
831,49.8581032,-92.7973325,Dryden (Canada),ON,2013-02-01T09:30:00.000Z,2013,2,Eagle River Airport,49.75559,-93.14026799999999
832,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
833,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
834,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
835,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
836,49.1055984,-81.0136031,Cochrane (Canada),ON,2012-09-04T22:00:00.000Z,2012,9,Iroquois Falls Airport,48.74172000000001,-80.793052
837,49.70434385,-87.766674169786,Bearskin Lake (Canada),ON,2007-10-26T19:00:00.000Z,2007,10,,,
838,49.5288403,-84.5630623171128,Angus (Canada),ON,2000-08-21T03:30:00.000Z,2000,8,Carey Lake Airport,49.743919,-84.03337700000002
839,47.820932299999996,-83.35498570000001,Chapleau (Canada),ON,2009-09-23T22:00:00.000Z,2009,9,Five Mile Lake Waterdrome,47.55809600000001,-83.221454
840,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
841,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
842,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
843,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
844,49.70434385,-87.766674169786,Bearskin Lake (Canada),ON,2007-10-26T19:00:00.000Z,2007,10,,,
845,44.110988899999995,-81.7143373,Bruce Beach (Canada),ON,2013-06-22T22:55:00.000Z,2013,6,Kincardine/Shepherd's Landing Airport,44.1175,-81.69833299999999
846,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
847,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
848,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
849,46.6530558,-80.94479609999999,Hanmer (Canada),ON,2012-06-21T22:40:00.000Z,2012,6,Greater Sudbury Airport,46.6228445,-80.7956531
850,48.4760636,-81.3283354,Timmins (Canada),ON,2013-09-21T22:30:00.000Z,2013,9,Iroquois Falls Airport,48.74172000000001,-80.793052
851,47.820932299999996,-83.35498570000001,Chapleau (Canada),ON,2009-09-23T22:00:00.000Z,2009,9,Five Mile Lake Waterdrome,47.55809600000001,-83.221454
852,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
853,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
854,48.7738991,-91.6386031,Atikokan (Canada),ON,2010-09-28T22:00:00.000Z,2010,9,Atikokan Airport,48.77129629999999,-91.6373615
855,49.5288403,-84.5630623171128,Angus (Canada),ON,2000-08-21T03:30:00.000Z,2000,8,Carey Lake Airport,49.743919,-84.03337700000002
856,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
857,50.1785158,-86.71333100000001,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2,Hutchison Lake Waterdrome,49.78478,-86.94001899999999
858,45.247988899999996,-78.89287759999999,Algonquin Highlands (Canada),ON,2014-08-05T22:00:00.000Z,2014,8,Dwight Airport,45.308553,-78.980631
859,49.70434385,-87.766674169786,Bearskin Lake (Canada),ON,2007-10-26T19:00:00.000Z,2007,10,,,
860,48.763729100000006,-80.66865909999999,Iroquois Falls (Canada),ON,2014-08-09T21:45:00.000Z,2014,8,Iroquois Falls Airport,48.74172000000001,-80.793052
861,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
862,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
863,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
864,47.3940148,-79.6870887,Cobalt (Canada),ON,2001-08-14T23:30:00.000Z,2001,8,Earlton-Timiskaming Airport,47.6975411,-79.84918259999999
865,43.290512799999995,-81.50219809999999,New Brunswick (Canada),ON,1986-06-30T15:30:00.000Z,1986,6,Centralia/James T. Field Memorial Aerodrome,43.2876144,-81.50684059999999
866,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
867,45.921302600000004,-79.92964570000001,Arnstein (Canada),ON,2013-09-22T19:45:00.000Z,2013,9,Sundridge South River Airport,45.82452430000001,-79.3297116
868,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
869,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
870,45.6202244,-79.40891590000001,Burk's Falls (Canada),ON,2002-08-02T20:30:00.000Z,2002,8,Bella Lake Waterdrome,45.451775,-79.0260179
871,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
872,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
873,49.5288403,-84.5630623171128,Angus (Canada),ON,2000-08-21T03:30:00.000Z,2000,8,Carey Lake Airport,49.743919,-84.03337700000002
874,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
875,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
876,48.716220299999996,-86.3758953,Marathon,ON,2014-06-14T22:00:00.000Z,2014,6,Marathon Airport,48.7591113,-86.3489556
877,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
878,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
879,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
880,49.789617,-93.6748203,Lake Winnange (Canada),ON,2013-08-13T23:20:00.000Z,2013,8,Vermilion Bay Airport,49.88005700000001,-93.429593
881,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
882,50.1785158,-86.71333100000001,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2,Hutchison Lake Waterdrome,49.78478,-86.94001899999999
883,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
884,47.820932299999996,-83.35498570000001,Chapleau (Canada),ON,2009-09-23T22:00:00.000Z,2009,9,Five Mile Lake Waterdrome,47.55809600000001,-83.221454
885,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
886,46.1770206,-77.6945747,Rolphton (Canada),ON,1997-06-01T19:30:00.000Z,1997,6,Deep River Airport,46.1164768,-77.5271121
887,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
888,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
889,44.3454166,-77.3346697,Roslin (Canada),ON,2001-04-02T18:00:00.000Z,2001,4,Belleville Airport,44.19195999999999,-77.309648
890,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
891,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
892,50.1785158,-86.71333100000001,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2,Hutchison Lake Waterdrome,49.78478,-86.94001899999999
893,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
894,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
895,49.5288403,-84.5630623171128,Angus (Canada),ON,2000-08-21T03:30:00.000Z,2000,8,Carey Lake Airport,49.743919,-84.03337700000002
896,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
897,49.51988855,-84.56832260241299,Eagle (Canada),ON,2007-10-08T21:00:00.000Z,2007,10,Carey Lake Airport,49.743919,-84.03337700000002
898,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
899,42.885097200000004,-79.2521394,Port Colborne (Canada),ON,2009-10-03T20:44:00.000Z,2009,10,Port Colborne Airport,42.87635349999999,-79.35574989999999
900,49.1994786,-84.78911640000001,Cedar Point (Canada),ON,1987-06-20T12:15:00.000Z,1987,6,Granitehill Lake Waterdrome,49.098705,-85.200293
901,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
902,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
903,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
904,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748
905,48.716220299999996,-86.3758953,Marathon,ON,2014-06-14T22:00:00.000Z,2014,6,Marathon Airport,48.7591113,-86.3489556
906,51.266667,-80.64999990000001,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.2897031,-80.6127405
907,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.9184124
